"TURTLES"
"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode"
"0","95","8","-9.043768557307912","-0.9661154428450206","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"1","55","307","-6.684639338430651","-3.33162175756674","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"2","35","225","-3.736750859737247","-1.8930163986874895","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"3","15","223","-4.134172922440717","1.2518685539747374","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"4","55","121","-7.347268690693629","1.911904550343468","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"5","25","250","0.5377490055285399","1.8422637285585741","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"6","25","80","0.935171077591826","-1.3026212228689598","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"7","125","256","3.4856374795046805","3.28086909663528","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"8","55","77","5.844766711807887","0.9153627779655459","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""
"9","55","90","4.14826683398423","-1.9626572073997546","""circle""","""""","9.9","{all-turtles}","false","1","1","""up"""

"PATCHES"
"pxcor","pycor","pcolor","plabel","plabel-color"
"-50","50","0","""""","9.9"
"-49","50","0","""""","9.9"
"-48","50","0","""""","9.9"
"-47","50","0","""""","9.9"
"-46","50","0","""""","9.9"
"-45","50","0","""""","9.9"
"-44","50","0","""""","9.9"
"-43","50","0","""""","9.9"
"-42","50","0","""""","9.9"
"-41","50","0","""""","9.9"
"-40","50","0","""""","9.9"
"-39","50","0","""""","9.9"
"-38","50","0","""""","9.9"
"-37","50","0","""""","9.9"
"-36","50","0","""""","9.9"
"-35","50","0","""""","9.9"
"-34","50","0","""""","9.9"
"-33","50","0","""""","9.9"
"-32","50","0","""""","9.9"
"-31","50","0","""""","9.9"
"-30","50","0","""""","9.9"
"-29","50","0","""""","9.9"
"-28","50","0","""""","9.9"
"-27","50","0","""""","9.9"
"-26","50","0","""""","9.9"
"-25","50","0","""""","9.9"
"-24","50","0","""""","9.9"
"-23","50","0","""""","9.9"
"-22","50","0","""""","9.9"
"-21","50","0","""""","9.9"
"-20","50","0","""""","9.9"
"-19","50","0","""""","9.9"
"-18","50","0","""""","9.9"
"-17","50","0","""""","9.9"
"-16","50","0","""""","9.9"
"-15","50","0","""""","9.9"
"-14","50","0","""""","9.9"
"-13","50","0","""""","9.9"
"-12","50","0","""""","9.9"
"-11","50","0","""""","9.9"
"-10","50","0","""""","9.9"
"-9","50","0","""""","9.9"
"-8","50","0","""""","9.9"
"-7","50","0","""""","9.9"
"-6","50","0","""""","9.9"
"-5","50","0","""""","9.9"
"-4","50","0","""""","9.9"
"-3","50","0","""""","9.9"
"-2","50","0","""""","9.9"
"-1","50","0","""""","9.9"
"0","50","0","""""","9.9"
"1","50","0","""""","9.9"
"2","50","0","""""","9.9"
"3","50","0","""""","9.9"
"4","50","0","""""","9.9"
"5","50","0","""""","9.9"
"6","50","0","""""","9.9"
"7","50","0","""""","9.9"
"8","50","0","""""","9.9"
"9","50","0","""""","9.9"
"10","50","0","""""","9.9"
"11","50","0","""""","9.9"
"12","50","0","""""","9.9"
"13","50","0","""""","9.9"
"14","50","0","""""","9.9"
"15","50","0","""""","9.9"
"16","50","0","""""","9.9"
"17","50","0","""""","9.9"
"18","50","0","""""","9.9"
"19","50","0","""""","9.9"
"20","50","0","""""","9.9"
"21","50","0","""""","9.9"
"22","50","0","""""","9.9"
"23","50","0","""""","9.9"
"24","50","0","""""","9.9"
"25","50","0","""""","9.9"
"26","50","0","""""","9.9"
"27","50","0","""""","9.9"
"28","50","0","""""","9.9"
"29","50","0","""""","9.9"
"30","50","0","""""","9.9"
"31","50","0","""""","9.9"
"32","50","0","""""","9.9"
"33","50","0","""""","9.9"
"34","50","0","""""","9.9"
"35","50","0","""""","9.9"
"36","50","0","""""","9.9"
"37","50","0","""""","9.9"
"38","50","0","""""","9.9"
"39","50","0","""""","9.9"
"40","50","0","""""","9.9"
"41","50","0","""""","9.9"
"42","50","0","""""","9.9"
"43","50","0","""""","9.9"
"44","50","0","""""","9.9"
"45","50","0","""""","9.9"
"46","50","0","""""","9.9"
"47","50","0","""""","9.9"
"48","50","0","""""","9.9"
"49","50","0","""""","9.9"
"50","50","0","""""","9.9"
"-50","49","0","""""","9.9"
"-49","49","0","""""","9.9"
"-48","49","0","""""","9.9"
"-47","49","0","""""","9.9"
"-46","49","0","""""","9.9"
"-45","49","0","""""","9.9"
"-44","49","0","""""","9.9"
"-43","49","0","""""","9.9"
"-42","49","0","""""","9.9"
"-41","49","0","""""","9.9"
"-40","49","0","""""","9.9"
"-39","49","0","""""","9.9"
"-38","49","0","""""","9.9"
"-37","49","0","""""","9.9"
"-36","49","0","""""","9.9"
"-35","49","0","""""","9.9"
"-34","49","0","""""","9.9"
"-33","49","0","""""","9.9"
"-32","49","0","""""","9.9"
"-31","49","0","""""","9.9"
"-30","49","0","""""","9.9"
"-29","49","0","""""","9.9"
"-28","49","0","""""","9.9"
"-27","49","0","""""","9.9"
"-26","49","0","""""","9.9"
"-25","49","0","""""","9.9"
"-24","49","0","""""","9.9"
"-23","49","0","""""","9.9"
"-22","49","0","""""","9.9"
"-21","49","0","""""","9.9"
"-20","49","0","""""","9.9"
"-19","49","0","""""","9.9"
"-18","49","0","""""","9.9"
"-17","49","0","""""","9.9"
"-16","49","0","""""","9.9"
"-15","49","0","""""","9.9"
"-14","49","0","""""","9.9"
"-13","49","0","""""","9.9"
"-12","49","0","""""","9.9"
"-11","49","0","""""","9.9"
"-10","49","0","""""","9.9"
"-9","49","0","""""","9.9"
"-8","49","0","""""","9.9"
"-7","49","0","""""","9.9"
"-6","49","0","""""","9.9"
"-5","49","0","""""","9.9"
"-4","49","0","""""","9.9"
"-3","49","0","""""","9.9"
"-2","49","0","""""","9.9"
"-1","49","0","""""","9.9"
"0","49","0","""""","9.9"
"1","49","0","""""","9.9"
"2","49","0","""""","9.9"
"3","49","0","""""","9.9"
"4","49","0","""""","9.9"
"5","49","0","""""","9.9"
"6","49","0","""""","9.9"
"7","49","0","""""","9.9"
"8","49","0","""""","9.9"
"9","49","0","""""","9.9"
"10","49","0","""""","9.9"
"11","49","0","""""","9.9"
"12","49","0","""""","9.9"
"13","49","0","""""","9.9"
"14","49","0","""""","9.9"
"15","49","0","""""","9.9"
"16","49","0","""""","9.9"
"17","49","0","""""","9.9"
"18","49","0","""""","9.9"
"19","49","0","""""","9.9"
"20","49","0","""""","9.9"
"21","49","0","""""","9.9"
"22","49","0","""""","9.9"
"23","49","0","""""","9.9"
"24","49","0","""""","9.9"
"25","49","0","""""","9.9"
"26","49","0","""""","9.9"
"27","49","0","""""","9.9"
"28","49","0","""""","9.9"
"29","49","0","""""","9.9"
"30","49","0","""""","9.9"
"31","49","0","""""","9.9"
"32","49","0","""""","9.9"
"33","49","0","""""","9.9"
"34","49","0","""""","9.9"
"35","49","0","""""","9.9"
"36","49","0","""""","9.9"
"37","49","0","""""","9.9"
"38","49","0","""""","9.9"
"39","49","0","""""","9.9"
"40","49","0","""""","9.9"
"41","49","0","""""","9.9"
"42","49","0","""""","9.9"
"43","49","0","""""","9.9"
"44","49","0","""""","9.9"
"45","49","0","""""","9.9"
"46","49","0","""""","9.9"
"47","49","0","""""","9.9"
"48","49","0","""""","9.9"
"49","49","0","""""","9.9"
"50","49","0","""""","9.9"
"-50","48","0","""""","9.9"
"-49","48","0","""""","9.9"
"-48","48","0","""""","9.9"
"-47","48","0","""""","9.9"
"-46","48","0","""""","9.9"
"-45","48","0","""""","9.9"
"-44","48","0","""""","9.9"
"-43","48","0","""""","9.9"
"-42","48","0","""""","9.9"
"-41","48","0","""""","9.9"
"-40","48","0","""""","9.9"
"-39","48","0","""""","9.9"
"-38","48","0","""""","9.9"
"-37","48","0","""""","9.9"
"-36","48","0","""""","9.9"
"-35","48","0","""""","9.9"
"-34","48","0","""""","9.9"
"-33","48","0","""""","9.9"
"-32","48","0","""""","9.9"
"-31","48","0","""""","9.9"
"-30","48","0","""""","9.9"
"-29","48","0","""""","9.9"
"-28","48","0","""""","9.9"
"-27","48","0","""""","9.9"
"-26","48","0","""""","9.9"
"-25","48","0","""""","9.9"
"-24","48","0","""""","9.9"
"-23","48","0","""""","9.9"
"-22","48","0","""""","9.9"
"-21","48","0","""""","9.9"
"-20","48","0","""""","9.9"
"-19","48","0","""""","9.9"
"-18","48","0","""""","9.9"
"-17","48","0","""""","9.9"
"-16","48","0","""""","9.9"
"-15","48","0","""""","9.9"
"-14","48","0","""""","9.9"
"-13","48","0","""""","9.9"
"-12","48","0","""""","9.9"
"-11","48","0","""""","9.9"
"-10","48","0","""""","9.9"
"-9","48","0","""""","9.9"
"-8","48","0","""""","9.9"
"-7","48","0","""""","9.9"
"-6","48","0","""""","9.9"
"-5","48","0","""""","9.9"
"-4","48","0","""""","9.9"
"-3","48","0","""""","9.9"
"-2","48","0","""""","9.9"
"-1","48","0","""""","9.9"
"0","48","0","""""","9.9"
"1","48","0","""""","9.9"
"2","48","0","""""","9.9"
"3","48","0","""""","9.9"
"4","48","0","""""","9.9"
"5","48","0","""""","9.9"
"6","48","0","""""","9.9"
"7","48","0","""""","9.9"
"8","48","0","""""","9.9"
"9","48","0","""""","9.9"
"10","48","0","""""","9.9"
"11","48","0","""""","9.9"
"12","48","0","""""","9.9"
"13","48","0","""""","9.9"
"14","48","0","""""","9.9"
"15","48","0","""""","9.9"
"16","48","0","""""","9.9"
"17","48","0","""""","9.9"
"18","48","0","""""","9.9"
"19","48","0","""""","9.9"
"20","48","0","""""","9.9"
"21","48","0","""""","9.9"
"22","48","0","""""","9.9"
"23","48","0","""""","9.9"
"24","48","0","""""","9.9"
"25","48","0","""""","9.9"
"26","48","0","""""","9.9"
"27","48","0","""""","9.9"
"28","48","0","""""","9.9"
"29","48","0","""""","9.9"
"30","48","0","""""","9.9"
"31","48","0","""""","9.9"
"32","48","0","""""","9.9"
"33","48","0","""""","9.9"
"34","48","0","""""","9.9"
"35","48","0","""""","9.9"
"36","48","0","""""","9.9"
"37","48","0","""""","9.9"
"38","48","0","""""","9.9"
"39","48","0","""""","9.9"
"40","48","0","""""","9.9"
"41","48","0","""""","9.9"
"42","48","0","""""","9.9"
"43","48","0","""""","9.9"
"44","48","0","""""","9.9"
"45","48","0","""""","9.9"
"46","48","0","""""","9.9"
"47","48","0","""""","9.9"
"48","48","0","""""","9.9"
"49","48","0","""""","9.9"
"50","48","0","""""","9.9"
"-50","47","0","""""","9.9"
"-49","47","0","""""","9.9"
"-48","47","0","""""","9.9"
"-47","47","0","""""","9.9"
"-46","47","0","""""","9.9"
"-45","47","0","""""","9.9"
"-44","47","0","""""","9.9"
"-43","47","0","""""","9.9"
"-42","47","0","""""","9.9"
"-41","47","0","""""","9.9"
"-40","47","0","""""","9.9"
"-39","47","0","""""","9.9"
"-38","47","0","""""","9.9"
"-37","47","0","""""","9.9"
"-36","47","0","""""","9.9"
"-35","47","0","""""","9.9"
"-34","47","0","""""","9.9"
"-33","47","0","""""","9.9"
"-32","47","0","""""","9.9"
"-31","47","0","""""","9.9"
"-30","47","0","""""","9.9"
"-29","47","0","""""","9.9"
"-28","47","0","""""","9.9"
"-27","47","0","""""","9.9"
"-26","47","0","""""","9.9"
"-25","47","0","""""","9.9"
"-24","47","0","""""","9.9"
"-23","47","0","""""","9.9"
"-22","47","0","""""","9.9"
"-21","47","0","""""","9.9"
"-20","47","0","""""","9.9"
"-19","47","0","""""","9.9"
"-18","47","0","""""","9.9"
"-17","47","0","""""","9.9"
"-16","47","0","""""","9.9"
"-15","47","0","""""","9.9"
"-14","47","0","""""","9.9"
"-13","47","0","""""","9.9"
"-12","47","0","""""","9.9"
"-11","47","0","""""","9.9"
"-10","47","0","""""","9.9"
"-9","47","0","""""","9.9"
"-8","47","0","""""","9.9"
"-7","47","0","""""","9.9"
"-6","47","0","""""","9.9"
"-5","47","0","""""","9.9"
"-4","47","0","""""","9.9"
"-3","47","0","""""","9.9"
"-2","47","0","""""","9.9"
"-1","47","0","""""","9.9"
"0","47","0","""""","9.9"
"1","47","0","""""","9.9"
"2","47","0","""""","9.9"
"3","47","0","""""","9.9"
"4","47","0","""""","9.9"
"5","47","0","""""","9.9"
"6","47","0","""""","9.9"
"7","47","0","""""","9.9"
"8","47","0","""""","9.9"
"9","47","0","""""","9.9"
"10","47","0","""""","9.9"
"11","47","0","""""","9.9"
"12","47","0","""""","9.9"
"13","47","0","""""","9.9"
"14","47","0","""""","9.9"
"15","47","0","""""","9.9"
"16","47","0","""""","9.9"
"17","47","0","""""","9.9"
"18","47","0","""""","9.9"
"19","47","0","""""","9.9"
"20","47","0","""""","9.9"
"21","47","0","""""","9.9"
"22","47","0","""""","9.9"
"23","47","0","""""","9.9"
"24","47","0","""""","9.9"
"25","47","0","""""","9.9"
"26","47","0","""""","9.9"
"27","47","0","""""","9.9"
"28","47","0","""""","9.9"
"29","47","0","""""","9.9"
"30","47","0","""""","9.9"
"31","47","0","""""","9.9"
"32","47","0","""""","9.9"
"33","47","0","""""","9.9"
"34","47","0","""""","9.9"
"35","47","0","""""","9.9"
"36","47","0","""""","9.9"
"37","47","0","""""","9.9"
"38","47","0","""""","9.9"
"39","47","0","""""","9.9"
"40","47","0","""""","9.9"
"41","47","0","""""","9.9"
"42","47","0","""""","9.9"
"43","47","0","""""","9.9"
"44","47","0","""""","9.9"
"45","47","0","""""","9.9"
"46","47","0","""""","9.9"
"47","47","0","""""","9.9"
"48","47","0","""""","9.9"
"49","47","0","""""","9.9"
"50","47","0","""""","9.9"
"-50","46","0","""""","9.9"
"-49","46","0","""""","9.9"
"-48","46","0","""""","9.9"
"-47","46","0","""""","9.9"
"-46","46","0","""""","9.9"
"-45","46","0","""""","9.9"
"-44","46","0","""""","9.9"
"-43","46","0","""""","9.9"
"-42","46","0","""""","9.9"
"-41","46","0","""""","9.9"
"-40","46","0","""""","9.9"
"-39","46","0","""""","9.9"
"-38","46","0","""""","9.9"
"-37","46","0","""""","9.9"
"-36","46","0","""""","9.9"
"-35","46","0","""""","9.9"
"-34","46","0","""""","9.9"
"-33","46","0","""""","9.9"
"-32","46","0","""""","9.9"
"-31","46","0","""""","9.9"
"-30","46","0","""""","9.9"
"-29","46","0","""""","9.9"
"-28","46","0","""""","9.9"
"-27","46","0","""""","9.9"
"-26","46","0","""""","9.9"
"-25","46","0","""""","9.9"
"-24","46","0","""""","9.9"
"-23","46","0","""""","9.9"
"-22","46","0","""""","9.9"
"-21","46","0","""""","9.9"
"-20","46","0","""""","9.9"
"-19","46","0","""""","9.9"
"-18","46","0","""""","9.9"
"-17","46","0","""""","9.9"
"-16","46","0","""""","9.9"
"-15","46","0","""""","9.9"
"-14","46","0","""""","9.9"
"-13","46","0","""""","9.9"
"-12","46","0","""""","9.9"
"-11","46","0","""""","9.9"
"-10","46","0","""""","9.9"
"-9","46","0","""""","9.9"
"-8","46","0","""""","9.9"
"-7","46","0","""""","9.9"
"-6","46","0","""""","9.9"
"-5","46","0","""""","9.9"
"-4","46","0","""""","9.9"
"-3","46","0","""""","9.9"
"-2","46","0","""""","9.9"
"-1","46","0","""""","9.9"
"0","46","0","""""","9.9"
"1","46","0","""""","9.9"
"2","46","0","""""","9.9"
"3","46","0","""""","9.9"
"4","46","0","""""","9.9"
"5","46","0","""""","9.9"
"6","46","0","""""","9.9"
"7","46","0","""""","9.9"
"8","46","0","""""","9.9"
"9","46","0","""""","9.9"
"10","46","0","""""","9.9"
"11","46","0","""""","9.9"
"12","46","0","""""","9.9"
"13","46","0","""""","9.9"
"14","46","0","""""","9.9"
